lat,long,plot_id,month,year,great_huki_year,assess_date,removal,non-removal,av,as,gs,o,bp,cr,caul,ce,chon,cm,dc,da,ds,dict,gc,gp,gr,hal,hh,hyd,hyp,lc,lyng,lau,neo,pad,spy,uf,rock,sand,sand_depth_mean
21.28131,-157.73274,P0794,1,2025,,2025-01-27,h,,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,30,0,0,0,0,30,0,0,0,0,0,20,30,
21.2814,-157.72906,P0319,9,2025,,2025-09-06,h,,11,12,1,7,0,0,0,0,1,0,0,0,5,0,2,0,0,12,0,0,0,0,2,1,0,0,14,0,45,56,2.733333333
21.2814,-157.72915,P0236,8,2025,,2025-08-09,h,,0,15,27,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,33,91,2.033333333
21.2814,-157.72935,P0185,8,2025,,2025-08-09,h,,0,36,46,0,0,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,40,3,0,0,11,0,18,6,2
21.2814,-157.72944,P0179,8,2025,,2025-08-09,h,,0,31,74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,21,0,24,0,
21.2814,-157.72954,P0057,8,2025,,2025-08-09,h,,0,27,34,0,0,0,0,0,1,0,0,6,2,0,0,0,0,0,0,0,0,0,15,1,0,0,20,0,31,9,2
21.2814,-157.72973,P0011,6,2025,,2025-06-14,h,,0,27,74,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,13,44,2.142857143
21.2814,-157.72983,P0013,6,2025,2010,2025-06-14,h,,0,61,97,0,0,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,6,17,3.25
21.28149,157.72915,P0803,4,2025,,2025-04-30,h,,11,49,0,2,0,0,21,0,0,0,0,15,1,0,1,0,0,9,0,0,16,0,1,4,0,0,32,0,21,73,2.318181818
21.28149,157.72925,P0804,4,2025,,2025-04-30,h,,7,37,1,0,0,0,5,0,0,0,0,5,1,0,1,0,0,4,0,0,6,0,0,1,0,0,34,0,33,92,3.380952381
21.28149,-157.72935,P0062,8,2025,,2025-08-09,h,,0,12,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,5,671,8.067567568
21.28149,-157.72935,P0062,8,2025,,2025-08-09,h,,0,19,39,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,20,0,0,0,30,0,32,564,13.84210526
21.28149,-157.72954,P0064,8,2025,,2025-08-09,h,,0,16,42,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21,0,0,0,4,0,11,420,7.4
21.28149,-157.72964,P0091,3,2025,,2025-03-15,h,,0,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,20,20,
21.28149,-157.72973,P0033,3,2025,,2025-03-15,h,,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,20,20,
21.28149,-157.72983,P0034,3,2025,,2025-03-15,h,,0,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,20,20,
21.28149,-157.72993,P0079,3,2025,,2025-03-15,h,,0,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,15,15,
21.28149,-157.73002,P0293,4,2025,,2025-04-19,h,,0,60,75,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,10,15,
7.24,-157.73012,P0805,4,2025,2010,2025-04-19,h,,0,35,35,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,60,5,
21.28158,-157.72964,P0087,3,2025,,2025-03-15,h,,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,70,
21.28158,-157.72973,P0081,3,2025,,2025-03-15,h,,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,10,70,
21.28158,-157.72983,P0078,3,2025,,2025-03-15,h,,0,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,10,60,
21.28158,-157.72993,P0080,3,2025,,2025-03-15,h,,0,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,30,
21.28158,-157.73002,P0065,4,2025,,2025-04-19,h,,0,25,85,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,8,
21.28158,-157.73012,P0066,4,2025,,2025-04-19,h,,0,40,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,20,
21.28158,-157.73041,P0037,5,2025,2010,2025-05-17,h,,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,219,2.775862069
21.28158,-157.7305,P0813,5,2025,2010,2025-05-17,h,,0,5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,18,93,2.875
21.28158,-157.7306,P0186,5,2025,2010,2025-05-17,h,,0,7,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,9,74,2.083333333
21.28158,-157.73089,P0814,3,2025,,2025-03-03,h,,1,25,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,21,0,31,87,2.954545455
21.28158,-157.73176,P0321,5,2025,,2025-05-26,h,,2,27,44,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,16,54,2.176470588
21.28158,-157.73234,P0370,2,2025,,2025-02-21,h,,17,48,3,0,0,0,25,0,0,0,0,2,1,0,0,0,0,6,0,0,17,0,5,0,0,0,48,0,6,35,1.916666667
21.28167,-157.72964,P0816,2,2025,,2025-02-21,h,,9,54,10,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,18,1,0,0,44,0,8,54,1.347826087
21.28167,-157.72983,P0124,2,2025,,2025-02-21,h,,4,10,1,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,0,27,142,2.155555556
21.28167,-157.73002,P0167,4,2025,,2025-04-19,h,,0,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,65,
21.28167,-157.73012,P0168,4,2025,,2025-04-19,h,,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80,
21.28167,-157.73041,P0090,5,2025,,2025-05-17,h,,0,18,70,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,0,13,9,1.25
21.28167,-157.7305,P0817,5,2025,,2025-05-17,e,,0,18,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,26,89,2.178571429
21.28167,-157.7306,P0272,5,2025,,2025-05-17,h,,0,25,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,35,14,2.5
21.28167,-157.73244,P0373,5,2025,,2025-05-26,h,,1,32,65,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,0,8,12,3
21.28167,-157.73253,P0378,2,2025,,2025-02-21,h,,5,43,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,40,0,21,102,2.517241379
21.28176,157.71949,P0822,5,2025,,2025-05-02,ae,,2,1,2,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,38,128,2.2
21.28176,157.71968,P0823,5,2025,,2025-05-02,ae,,2,5,1,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,18,0,32,133,2.243902439
21.28185,157.71959,P0832,5,2025,,2025-05-02,ae,,5,6,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,24,182,2.872340426
21.28338,-157.71968,P0191,2,2025,,2025-02-07,h,,0,16,72,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,3,0,8,14,
21.28338,-157.71978,P0019,2,2025,,2025-02-07,h,,2,10,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,3,0,12,12,
21.28338,-157.71988,P0868,2,2025,,2025-02-07,h,,0,0,85,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,2,
21.28338,-157.71997,P0116,2,2025,,2025-02-07,h,,0,2,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,9,
21.28356,-157.71949,P0874,2,2025,,2025-02-27,h,,1,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,10,
21.28356,-157.71959,P0875,2,2025,,2025-02-26,h,,20,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,28,0,8,51,2.642857143
21.28356,-157.71978,P0070,2,2025,,2025-02-25,h,,0,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,25,
21.28365,-157.7193,P0361,3,2025,,2025-03-14,h,,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,
21.28365,-157.71939,P0312,3,2025,,2025-03-14,h,,0,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,0,10,20,
21.28365,-157.71949,P0313,3,2025,,2025-03-14,h,,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,45,
21.28365,-157.71959,P0878,2,2025,,2025-02-27,h,,0,30,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,10,25,
21.28365,-157.71988,P0023,2,2025,,2025-02-25,h,,0,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,25,
,-157.7193,P0880,3,2025,,2025-03-14,h,,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,25,25,
21.28374,-157.71939,P0881,3,2025,,2025-03-14,h,,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,
21.28374,-157.71949,P0882,3,2025,,2025-03-14,h,,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,
21.28383,-157.7193,P0885,3,2025,,2025-03-12,h,,0,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,15,25,
21.28383,-157.71978,P0887,4,2025,,2025-04-15,h,,0,0,82,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,5,41,2.416666667
21.28383,-157.71988,P0383,4,2025,,2025-04-15,e,,0,1,79,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,54,0,6,60,2.157894737
21.28392,-157.7193,P0890,3,2025,,2025-03-12,h,,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,
,-157.71978,P0891,4,2025,,2025-04-15,h,,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,78,0,2,6,1
21.28392,-157.71988,P0892,4,2025,,2025-04-15,h,,0,2,76,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,55,0,6,41,1.733333333
21.28401,-157.7193,P0895,3,2025,,2025-03-12,h,,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25,
21.28401,-157.71997,P0161,4,2025,,2025-04-02,h,,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,40,5,
21.28401,-157.72007,P0897,4,2025,,2025-04-02,h,,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,40,10,
21.28401,-157.72017,P0898,4,2025,,2025-04-02,h,,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,20,
21.2841,-157.7193,P0902,3,2025,,2025-03-12,h,,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,
21.2841,-157.71997,P0908,4,2025,,2025-04-02,e,,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,40,10,
21.2841,-157.72007,P0909,4,2025,,2025-04-02,e,,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,55,10,
21.2,-157.7,P0010,2,2025,2010,2025-02-04,h,,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,30,0,0,0,10,0,20,30,
21.28149,-157.7307,P0094,2,2025,2011,2025-02-24,h,,0,50,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,30,20,
21.28113,-157.72848,P0128,3,2025,,2025-03-01,h,,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,1,0,0,10,40,
21.27933,-157.73224,P0419,2,2025,,2025-02-24,e,,10,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,80,
21.2896,-157.72307,P0424,2,2025,,2025-02-13,e,,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,1,0,25,25,
21.2796,-157.72693,P0425,2,2025,,2025-02-13,e,,30,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,25,25,
21.2796,-157.72722,P0426,2,2025,,2025-02-13,e,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,35,35,
21.27969,-157.72703,P0429,2,2025,,2025-02-13,a,,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,30,30,
21.27969,-157.72712,P0430,3,2025,,2025-03-17,ae,,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,28,239,3.120689655
21.27978,-157.73079,P0436,2,2025,,2025-02-10,a,,10,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,70,
21.27987,-157.72693,P0440,2,2025,,2025-02-13,a,,20,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,0,0,0,0,0,0,0,20,40,
21.27987,-157.72712,P0441,2,2025,,2025-02-13,ae,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,40,50,
21.27987,-157.72857,P0445,3,2025,,2025-03-01,ae,,0,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,
21.27987,-157.73079,P0446,3,2025,,2025-03-01,ae,,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,20,20,
21.27987,-157.73195,P0447,3,2025,,2025-03-01,e,,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,5,25,
21.27987,-157.73224,P0448,3,2025,,2025-03-19,a,,0,5,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,
21.27996,-157.72703,P0451,2,2025,,2025-02-13,bqen,,16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,48,
21.27996,-157.73195,P0454,2,2025,,2025-02-10,e,,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,95,
21.27996,-157.73224,P0455,3,2025,,2025-03-19,a,,0,5,0,0,0,0,0,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,70,
21.28005,-157.73157,P0459,2,2025,,2025-02-10,e,,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,98,
21.28005,-157.73224,P0334,3,2025,,2025-03-19,a,,0,20,5,0,0,0,0,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,60,
21.28014,-157.73224,P0335,3,2025,,2025-03-19,h,,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,30,25,
21.28014,-157.73234,P0465,3,2025,,2025-03-19,a,,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,50,
21.28023,-157.7279,P0468,2,2025,,2025-02-14,e,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,90,
21.28023,-157.73166,P0474,3,2025,,2025-03-19,e,,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,5,5,0,40,10,
21.28032,-157.72693,P0479,2,2025,,2025-02-04,a,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,1,0,0,0,0,0,10,40,
21.28032,-157.73195,P0499,2,2025,,2025-02-04,e,,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,30,30,
21.28032,-157.73321,P0503,2,2025,,2025-02-04,E,,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,30,3,0,0,30,0,10,30,
21.28041,-157.7278,P0504,2,2025,2011,2025-02-04,a,,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,1,0,0,0,0,0,10,40,
21.28041,-157.7307,P0512,4,2025,2010,2025-04-19,h,,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,20,40,
21.28041,-157.73166,P0517,4,2025,,2025-04-05,e,,5,24,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,55,15,
21.2805,-157.72809,P0527,2,2025,,2025-02-04,n,,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,20,0,20,30,
21.2805,-157.7306,P0540,3,2025,2010,2025-03-01,h,,1,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,0,0,40,10,
21.2805,-157.7307,P0541,3,2025,2010,2025-03-01,h,,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0,40,0,
21.2805,-157.73244,P0551,2,2025,,2025-02-04,e,,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,10,0,0,0,0,0,15,15,
21.28059,-157.73012,P0566,3,2025,2011,2025-03-03,a,,5,40,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,40,20,
